"id_departamento","lat","long"
5,6.3333333,-75.3333333
18,2.1525,-74.7888889
68,6.8836111,-73.4138889
47,9.3333333,-74.3
52,1.25,-77.45
47,9.3166667,-74.5833333
5,5.8666667,-75.5833333
68,6.9927778,-72.9102778
52,2.3333333,-77.9166667
47,10.6,-74.167
13,10.5833333,-75.25
5,6.5597222,-75.8280556
27,4.2586111,-77.3675
68,6.3375,-73.5919444
73,4.75,-75.1666667
8,10.3286111,-74.9644444
47,11.2472222,-74.2016667
15,4.8616667,-73.2641667
41,3,-75.7
13,10.45,-75.3333333
19,1.5,-76.5
66,4.8680556,-75.6213889
5,6.6666667,-75.4166667
15,5.9166667,-73
13,7.9644444,-74.0544444
99,5.1261111,-70.8758333
15,5.75,-73.5833333
15,6.0572222,-73.4822222
19,3.0130556,-76.4866667
54,7.9166667,-72.6666667
86,1.1511111,-77.0075
5,6.4722222,-75.1647222
8,10.75,-74.8333333
5,6.1333333,-75.25
66,5.0833333,-76
52,1.0333333,-77.6
81,6.9205556,-71.8533333
54,8.25,-72.75
25,5,-74.45
15,6.1666667,-72.6666667
15,6.1333333,-72.6666667
5,7.25,-74.75
25,5.0833333,-73.8333333
76,4.2688889,-75.9361111
15,5.5833333,-73.1666667
25,4.4913889,-74.2605556
86,1.1833333,-76.9166667
54,7.2,-72.75
25,4.5,-74.3333333
19,2.75,-76.3333333
68,6.4472222,-73.3413889
25,5.5833333,-73.8333333
13,7.5833333,-74.1666667
70,9.3047222,-75.3977778
70,9.1666667,-75
27,4.5833333,-76.5
47,10.9166667,-74.5833333
25,4.5872222,-74.2213889
15,6.4166667,-72.6666667
15,6,-72.6666667
68,6.5333333,-73.2
15,6.0833333,-72.5833333
15,5.7205556,-72.9297222
18,0.7147222,-75.2486111
8,10.9172222,-74.7666667
18,0.9,-75.623
15,4.9877778,-73.4361111
5,5.75,-75
5,6.5,-75.75
13,10.3333333,-75.1
25,4.9166667,-73.95
15,5.5666667,-73.4333333
15,5.5,-73.3166667
15,5.8333333,-73.25
19,2.2566667,-76.6186111
52,1.5155556,-77.495
68,6.1666667,-73.3
8,10.3333333,-74.9166667
41,1.9166667,-75.8333333
25,5,-74.1666667
19,2.0333333,-76.9166667
68,6.0833333,-73.9166667
70,9,-75
25,5.1666667,-73.8333333
25,5.0833333,-74.25
17,5.5,-75.6333333
68,7.5,-72.9666667
25,5.5,-73.8333333
15,6.2666667,-72.6666667
15,5.6666667,-73.5833333
25,5.251,-73.856
15,5.0166667,-73.45
19,2.9588889,-76.6952778
73,4.0833333,-74.7833333
85,6.0833333,-72.0833333
15,5.6666667,-73.5
25,5,-74.0833333
27,5.3333333,-76.4166667
13,9.3069444,-74.5686111
20,8.8333333,-73.5833333
81,6.4641667,-71.7288889
52,1.5833333,-77.25
52,1.0833333,-77.3
97,0.4938889,-69.6669444
5,7.5833333,-75.35
41,2.1666667,-75.9166667
5,5.8333333,-75.8333333
15,5.9166667,-72.7
85,5.0186111,-72.7552778
25,5.25,-73.9166667
41,3.0833333,-75.0833333
25,4.7,-74.4166667
47,10,-74.6666667
25,4.9166667,-74.1666667
15,5.15,-73.45
54,8.75,-73.1666667
41,2.9166667,-75.6666667
41,2.6666667,-75.75
25,4.3833333,-74.5
15,5.3333333,-73.3833333
15,5.8333333,-72.9666667
25,5.1333333,-73.5333333
54,8.6480556,-72.7394444
23,8.1736111,-76.0591667
41,2,-75.9166667
19,2.75,-77.5833333
19,2.4166667,-76.75
15,5.6333333,-73.65
15,6.4233333,-72.6952778
13,8.5597222,-74.2669444
5,6.0833333,-75.8
15,5.6666667,-73.1666667
25,4.5,-74.6666667
25,5,-73.9166667
15,5.95,-73.4166667
5,7,-75.7
54,7.3,-72.25
70,9.5,-75.5333333
70,,
68,7.25,-72.9
15,5.8333333,-72.8333333
25,5.4166667,-74.3333333
19,3,-76.1666667
76,4.6116667,-76.0813889
15,5.5,-73
19,2.5833333,-76.3333333
85,5.4305556,-71.6311111
76,4.25,-76.3333333
8,10.9166667,-74.95
23,9.1833333,-75.55
76,4.0866667,-76.2
52,1.7986111,-78.8155556
15,5.5352778,-73.3677778
15,5.7333333,-73.9333333
13,10.35,-75.3333333
13,10.25,-75.4166667
5,8,-76.5833333
15,5.3333333,-73.5
15,5.75,-73.1666667
15,6.1666667,-72.8333333
85,5.8297222,-72.1633333
5,5.6666667,-75.6666667
52,1.1666667,-77.5833333
25,4.8333333,-73.5
25,4.5833333,-74
25,5.35,-73.8333333
76,4.7166667,-75.75
25,4.3333333,-74.0833333
27,8.0430556,-77.0961111
27,5.283,-76.617
5,6.8994444,-76.1741667
50,3.254,-74.358
44,11.9166667,-72
5,6.3333333,-76.4166667
44,10.5666667,-73.0166667
8,10.75,-74.9666667
5,7.3333333,-75.3333333
23,8.3,-76.1666667
68,6.5,-73.0666667
73,4.25,-75.1666667
86,0.4525,-76.9191667
20,10.4769444,-73.2505556
5,5.6666667,-75.5833333
18,1.1991667,-75.7097222
5,6.7730556,-74.8016667
73,4.75,-74.9166667
5,5.9166667,-75.75
25,4.1333333,-74.5
15,5.4166667,-73.5
25,5.1666667,-74.3333333
76,4.6666667,-76.25
68,7.3333333,-72.8666667
25,4.9166667,-74.55
5,6.5919444,-76.8986111
76,3.6986111,-76.4491667
54,7.9169444,-72.9763889
19,2.5136111,-76.8477778
15,5.6333333,-73.5333333
54,7.8338889,-72.4741667
86,1.038,-76.627
25,5.2761111,-74.1988889
73,5,-75.1666667
17,5,-75.5
13,10.45,-75.25
44,10.5833333,-73
68,6.6741667,-73.1777778
85,5.2833333,-71.9666667
25,5.2833333,-73.5833333
73,4,-74.5833333
50,4.1533333,-73.635
41,3.3333333,-75.1666667
25,5.0833333,-74.5
25,4.5,-74.5
15,5.5,-73.25
50,3.0863889,-73.7513889
17,5.0833333,-75.8666667
68,6.0833333,-73.5833333
25,5.6666667,-74.4166667
52,1.0833333,-77.4166667
41,2.6666667,-75.5833333
5,6.8333333,-74.75
5,7,-75.5
5,6.6666667,-75
5,7.0077778,-73.9141667
85,5.3394444,-72.3941667
76,3.9166667,-76.3333333
76,3.585,-76.4958333
13,9.75,-74.8333333
68,6.8333333,-73.25
47,10.171,-74.719
5,7.75,-74.75
76,4.3983333,-76.0772222
15,5.35,-73.1666667
25,4.8333333,-74.4166667
25,5.0283333,-74.0058333
47,,
54,8,-73.2
41,2.75,-75.75
15,5.2333333,-73.45
25,5.25,-74.5
